Sample	s_name	totalpairs	discardpairs	percdiscard	combopairs	inniepairs	outiepairs	uncombopairs	perccombo
ERR6913110_1	ERR6913110_1	167664	0	0	146209	0	0	21455	87.2
ERR6913127_1	ERR6913127_1	15085	0	0	12673	0	0	2412	84.01
ERR6913129_1	ERR6913129_1	235504	0	0	132394	0	0	103110	56.22
ERR6913133_1	ERR6913133_1	883888	0	0	515268	0	0	368620	58.3
ERR6913145_1	ERR6913145_1	282355	0	0	203031	0	0	79324	71.91
ERR6913206_1	ERR6913206_1	56060	0	0	49209	0	0	6851	87.78
ERR6913223_1	ERR6913223_1	586947	0	0	497614	0	0	89333	84.78
ERR6913225_1	ERR6913225_1	1363935	0	0	1246812	0	0	117123	91.41
ERR6913229_1	ERR6913229_1	1324485	0	0	1188560	0	0	135925	89.74
ERR6913241_1	ERR6913241_1	1331904	0	0	1196295	0	0	135609	89.82
