Sample	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	FLASh_mqc-generalstats-flash-combopairs	FLASh_mqc-generalstats-flash-perccombo
ERR6913110_1		10.220518588158058	50.0	130.840562076534	147	0.0	167664.0	146209	87.2
ERR6913110_2		10.110110687859304	50.0	130.84488620097338	147	0.0	167664.0		
ERR6913127_1		8.392442823997342	49.0	123.63672522373218	137	0.0	15085.0	12673	84.01
ERR6913127_2		8.160424262512436	49.0	123.64806098773616	137	0.0	15085.0		
ERR6913129_1		6.880419667174962	44.0	142.42146205584618	151	0.0	235504.0	132394	56.22
ERR6913129_2		6.816117397777504	44.0	142.40966607785856	151	0.0	235504.0		
ERR6913133_1		11.328813635931098	57.0	141.62624337020074	151	10.0	883888.0	515268	58.3
ERR6913133_2		11.088466213304187	57.0	141.6285819017794	151	10.0	883888.0		
ERR6913145_1		7.372601850615794	45.0	134.1706008393689	151	0.0	282355.0	203031	71.91
ERR6913145_2		7.298405860945749	45.0	134.16829168953976	151	0.0	282355.0		
ERR6913206_1		31.006064930431677	50.0	115.6932750624331	132	20.0	56060.0	49209	87.78
ERR6913206_2		30.740278273278633	50.0	115.66764181234392	132	20.0	56060.0		
ERR6913223_1		82.92996848872183	52.0	135.3022197915655	151	10.0	586947.0	497614	84.78
ERR6913223_2		82.86358675072017	52.0	135.29194288411048	151	10.0	586947.0		
ERR6913225_1		42.728828907854954	49.0	128.11354426713882	137	0.0	1363935.0	1246812	91.41
ERR6913225_2		42.5274205721022	49.0	128.1094722255826	137	0.0	1363935.0		
ERR6913229_1		47.38993428555575	48.0	133.6597167955847	147	0.0	1324485.0	1188560	89.74
ERR6913229_2		47.25716296937157	48.0	133.6565155513275	147	0.0	1324485.0		
ERR6913241_1		53.753791233435976	49.0	132.6833533047427	147	10.0	1331904.0	1196295	89.82
ERR6913241_2		53.50177334144962	49.0	132.67659606097737	147	10.0	1331904.0		
x_mgury_bowtie_merged2PhiX	0.0								
x_mgury_bowtie_merged2SARS	0.07								
